的	〔白勹丶&nbsp;·&nbsp;unid〕
图	〔囗夂⺀&nbsp;·&nbsp;rhwb〕
考	〔耂一ㄅ&nbsp;·&nbsp;qfae〕
选	〔⺧儿辶&nbsp;·&nbsp;qpuc〕
终	〔纟夂⺀&nbsp;·&nbsp;ihwb〕
微	〔彳山一攵&nbsp;·&nbsp;wvfh&nbsp;wvfo〕
皇	〔白王&nbsp;·&nbsp;unw〕
土	〔土&nbsp;·&nbsp;gt〕
局	〔尸㇆口&nbsp;·&nbsp;cadk〕
星	〔日生&nbsp;·&nbsp;ols〕
足	〔足&nbsp;·&nbsp;pu〕
刘	〔文刂&nbsp;·&nbsp;vpd〕
甚	〔㇗&nbsp;·&nbsp;zhae〕
严	〔一厂&nbsp;·&nbsp;fcxc〕
医	〔匸矢&nbsp;·&nbsp;nos〕
男	〔田力&nbsp;·&nbsp;qsl〕
营	〔艹冖口口&nbsp;·&nbsp;lwdd〕
乎	〔丿丷&nbsp;·&nbsp;thns〕
仅	〔亻又&nbsp;·&nbsp;jry〕
父	〔八乂&nbsp;·&nbsp;hbi〕
拿	〔亼口手&nbsp;·&nbsp;jdus〕
孩	〔子亥&nbsp;·&nbsp;hkh〕
答	〔⺮亼口&nbsp;·&nbsp;rjdk〕
费	〔弗贝&nbsp;·&nbsp;tob〕
标	〔木示&nbsp;·&nbsp;efs〕
依	〔亻衣&nbsp;·&nbsp;jti〕
兴	〔⺍&nbsp;·&nbsp;khb〕
低	〔亻氏丶&nbsp;·&nbsp;jbid〕
千	〔千&nbsp;·&nbsp;lq〕
仍	〔亻乃&nbsp;·&nbsp;jvn〕
急	〔⺈彐心&nbsp;·&nbsp;xbhx〕
护	〔扌户&nbsp;·&nbsp;umh〕
竟	〔音儿&nbsp;·&nbsp;xpe〕
某	〔甘木&nbsp;·&nbsp;zem〕
较	〔六乂&nbsp;·&nbsp;yabi〕
防	〔阝方&nbsp;·&nbsp;tlf〕
列	〔歹刂&nbsp;·&nbsp;gpd〕
讲	〔讠井&nbsp;·&nbsp;sqj〕
破	〔石皮&nbsp;·&nbsp;mrp〕
客	〔宀各&nbsp;·&nbsp;wsg〕
施	〔方𠂉也&nbsp;·&nbsp;leey〕
故	〔古攵&nbsp;·&nbsp;chp〕
血	〔丿皿&nbsp;·&nbsp;tam〕
节	〔艹卩&nbsp;·&nbsp;lzj〕
云	〔云&nbsp;·&nbsp;by〕
龙	〔龙&nbsp;·&nbsp;tl〕
钱	〔钅一戈&nbsp;·&nbsp;zfpg〕
苏	〔艹力八&nbsp;·&nbsp;lshb〕
母	〔母&nbsp;·&nbsp;km〕
伤	〔亻𠂉力&nbsp;·&nbsp;jesl〕
举	〔⺍&nbsp;·&nbsp;khus〕
族	〔方𠂉矢&nbsp;·&nbsp;leos〕
按	〔扌宀女&nbsp;·&nbsp;uwbn〕
维	〔纟隹&nbsp;·&nbsp;iui〕
修	〔亻丨夂彡&nbsp;·&nbsp;jghe〕
帝	〔冖巾&nbsp;·&nbsp;iwrj〕
河	〔氵可&nbsp;·&nbsp;kzk〕
威	〔戊一女&nbsp;·&nbsp;nfbn〕
巴	〔巴&nbsp;·&nbsp;mb〕
划	〔戈刂&nbsp;·&nbsp;ppd〕
致	〔至攵&nbsp;·&nbsp;yhp〕
案	〔宀女木&nbsp;·&nbsp;wbem〕
革	〔革&nbsp;·&nbsp;tg〕
底	〔广氏丶&nbsp;·&nbsp;xbid〕
送	〔䒑大辶&nbsp;·&nbsp;hmuc〕
冲	〔冫口丨&nbsp;·&nbsp;wdgs〕
音	〔音&nbsp;·&nbsp;xy〕
态	〔大丶心&nbsp;·&nbsp;mihx〕
够	〔句夕夕&nbsp;·&nbsp;gllx〕
段	〔一殳&nbsp;·&nbsp;ufrs〕
构	〔木勹厶&nbsp;·&nbsp;enks〕
群	〔丿口羊&nbsp;·&nbsp;btdg〕
船	〔舟几口&nbsp;·&nbsp;iodk〕
责	〔龶贝&nbsp;·&nbsp;aob〕
苦	〔艹古&nbsp;·&nbsp;lcg〕
章	〔音十&nbsp;·&nbsp;xns〕
律	〔彳聿&nbsp;·&nbsp;wbv〕
愿	〔厂白小心&nbsp;·&nbsp;xuyh〕
围	〔囗韦&nbsp;·&nbsp;rgw〕
京	〔小&nbsp;·&nbsp;gyx〕
衣	〔衣&nbsp;·&nbsp;ti〕
喜	〔壴口&nbsp;·&nbsp;hdk〕
独	〔犭虫&nbsp;·&nbsp;mcc〕
效	〔六乂攵&nbsp;·&nbsp;abhp〕
斗	〔斗&nbsp;·&nbsp;jd〕
细	〔纟田&nbsp;·&nbsp;iqt〕
怕	〔忄白&nbsp;·&nbsp;hub〕
志	〔士心&nbsp;·&nbsp;ghx〕
米	〔米&nbsp;·&nbsp;pm〕
晚	〔日&nbsp;·&nbsp;owpe〕
热	〔扌九丶灬&nbsp;·&nbsp;ukic〕
项	〔工页&nbsp;·&nbsp;uwy〕
料	〔米斗&nbsp;·&nbsp;pjd〕
例	〔亻歹刂&nbsp;·&nbsp;jgpd〕
灵	〔彐火&nbsp;·&nbsp;bch〕
密	〔宀心丿山&nbsp;·&nbsp;whtv〕
害	〔宀丰口&nbsp;·&nbsp;wadk〕
供	〔亻龷八&nbsp;·&nbsp;jlhb〕
属	〔尸丿口⽱&nbsp;·&nbsp;ctdv〕
验	〔马亼⺍一&nbsp;·&nbsp;njkf〕
境	〔土音儿&nbsp;·&nbsp;gxpe〕
毛	〔毛&nbsp;·&nbsp;vm&nbsp;vmm〕
般	〔舟殳&nbsp;·&nbsp;irs〕
居	〔尸古&nbsp;·&nbsp;ccg〕
继	〔纟米㇗&nbsp;·&nbsp;ipae〕
错	〔钅龷日&nbsp;·&nbsp;zlor〕
沉	〔氵冖几&nbsp;·&nbsp;kwoj〕
采	〔爫木&nbsp;·&nbsp;yem〕
既	〔旡&nbsp;·&nbsp;idu〕
察	〔宀示&nbsp;·&nbsp;whfs〕
否	〔不口&nbsp;·&nbsp;cdk〕
批	〔扌匕&nbsp;·&nbsp;uvvb〕
脑	〔月亠㐅凵&nbsp;·&nbsp;vzbm〕
夜	〔亠亻&nbsp;·&nbsp;zjvy〕
股	〔月殳&nbsp;·&nbsp;vrs〕
速	〔束辶&nbsp;·&nbsp;xuc〕
纪	〔纟己&nbsp;·&nbsp;ivj〕
续	〔纟十乛大&nbsp;·&nbsp;inam〕
假	〔亻二又&nbsp;·&nbsp;jcmr〕
帮	〔阝巾&nbsp;·&nbsp;atrj〕
乐	〔小&nbsp;·&nbsp;byx〕
陆	〔阝凵&nbsp;·&nbsp;tumk〕
型	〔一廾刂土&nbsp;·&nbsp;flpg〕
退	〔艮辶&nbsp;·&nbsp;iuc〕
友	〔𠂇又&nbsp;·&nbsp;nry〕
铁	〔钅丿夫&nbsp;·&nbsp;zthf〕
汉	〔氵又&nbsp;·&nbsp;kry〕
暗	〔日音&nbsp;·&nbsp;oxy〕
状	〔丬犬&nbsp;·&nbsp;amq〕
左	〔𠂇工&nbsp;·&nbsp;nug〕
句	〔句&nbsp;·&nbsp;gj〕
雷	〔⻗田&nbsp;·&nbsp;tqt〕
网	〔冂乂乂&nbsp;·&nbsp;mbbi〕
率	〔亠幺冫十&nbsp;·&nbsp;ziwn〕
值	〔亻十一&nbsp;·&nbsp;jnqf〕
普	〔䒑业日&nbsp;·&nbsp;hcor〕
承	〔乛水三&nbsp;·&nbsp;akts〕
停	〔亻丁&nbsp;·&nbsp;jgad〕
试	〔讠弋工&nbsp;·&nbsp;spug〕
弹	〔弓丷田十&nbsp;·&nbsp;bhqn〕
止	〔止&nbsp;·&nbsp;si〕
职	〔耳口八&nbsp;·&nbsp;qdhb〕
药	〔艹纟勹丶&nbsp;·&nbsp;lini〕
久	〔㇏&nbsp;·&nbsp;xid〕
印	〔一卩&nbsp;·&nbsp;bfzj〕
卫	〔一&nbsp;·&nbsp;zfi〕
助	〔且力&nbsp;·&nbsp;fsl〕
掌	〔手&nbsp;·&nbsp;sus〕
织	〔纟口八&nbsp;·&nbsp;idhb〕
阳	〔阝日&nbsp;·&nbsp;tor〕
待	〔彳土寸&nbsp;·&nbsp;wgkc〕
初	〔衤刀&nbsp;·&nbsp;tpd〕
追	〔丿㠯辶&nbsp;·&nbsp;tkuc〕
木	〔木&nbsp;·&nbsp;em〕
哈	〔口亼口&nbsp;·&nbsp;djdk〕
您	〔亻小心&nbsp;·&nbsp;jxyh〕
预	〔予页&nbsp;·&nbsp;iwy〕
刻	〔亥刂&nbsp;·&nbsp;kpd〕
创	〔人⺋刂&nbsp;·&nbsp;jzpd〕
诉	〔讠斤丶&nbsp;·&nbsp;stid〕
简	〔⺮门日&nbsp;·&nbsp;raor〕
射	〔身寸&nbsp;·&nbsp;zkc〕
限	〔阝艮&nbsp;·&nbsp;tig〕
球	〔王一氺丶&nbsp;·&nbsp;nfki〕
差	〔⺶工&nbsp;·&nbsp;gug〕
树	〔木又寸&nbsp;·&nbsp;erkc〕
校	〔木六乂&nbsp;·&nbsp;eabi〕
兰	〔丷三&nbsp;·&nbsp;hts〕
怪	〔忄又土&nbsp;·&nbsp;hrgt〕
阵	〔阝车&nbsp;·&nbsp;tyc〕
异	〔巳廾&nbsp;·&nbsp;vlc〕
宗	〔宀示&nbsp;·&nbsp;wfs〕
波	〔氵皮&nbsp;·&nbsp;krp〕
育	〔⺝&nbsp;·&nbsp;bvy〕
激	〔氵白方攵&nbsp;·&nbsp;kulh〕
担	〔扌日一&nbsp;·&nbsp;uofi〕
顿	〔一页&nbsp;·&nbsp;fswy〕
游	〔氵方𠂉子&nbsp;·&nbsp;kleh〕
充	〔儿&nbsp;·&nbsp;bpe〕
银	〔钅艮&nbsp;·&nbsp;zig〕
适	〔舌辶&nbsp;·&nbsp;auc〕
省	〔𡭔丿目&nbsp;·&nbsp;ytqm〕
胡	〔古月&nbsp;·&nbsp;cvy〕
食	〔食&nbsp;·&nbsp;qs〕
警	〔艹句攵言&nbsp;·&nbsp;lghs〕
素	〔龶糸&nbsp;·&nbsp;ais〕
尼	〔尸匕&nbsp;·&nbsp;cvb〕
排	〔扌非&nbsp;·&nbsp;urf〕
负	〔⺈贝&nbsp;·&nbsp;xob〕
背	〔匕⺝&nbsp;·&nbsp;avvy〕
忽	〔勹心&nbsp;·&nbsp;nehx〕
酒	〔氵酉&nbsp;·&nbsp;kyy〕
穿	〔穴牙&nbsp;·&nbsp;ely〕
福	〔礻一口田&nbsp;·&nbsp;ffdq〕
弟	〔丷𢎨&nbsp;·&nbsp;htf〕
怀	〔忄不&nbsp;·&nbsp;hcb〕
欢	〔又欠&nbsp;·&nbsp;req〕
环	〔王不&nbsp;·&nbsp;ncb〕
招	〔扌刀口&nbsp;·&nbsp;updk〕
模	〔木艹日大&nbsp;·&nbsp;elom〕
胜	〔月生&nbsp;·&nbsp;vls〕
痛	〔疒龴&nbsp;·&nbsp;akty〕
习	〔习&nbsp;·&nbsp;zx〕
险	〔阝亼⺍一&nbsp;·&nbsp;tjkf〕
财	〔贝丿&nbsp;·&nbsp;ontp〕
益	〔皿&nbsp;·&nbsp;kam〕
宝	〔宀王丶&nbsp;·&nbsp;wnid〕
脚	〔月土厶卩&nbsp;·&nbsp;vgkz〕
疑	〔匕矢龴疋&nbsp;·&nbsp;vokt〕
乱	〔舌乚&nbsp;·&nbsp;aae〕
赶	〔走干&nbsp;·&nbsp;peg〕
坚	〔〢又土&nbsp;·&nbsp;prgt〕
获	〔艹犭犬&nbsp;·&nbsp;lmmq〕
劳	〔艹冖力&nbsp;·&nbsp;lwsl〕
挥	〔扌冖车&nbsp;·&nbsp;uwyc〕
敢	〔乛耳攵&nbsp;·&nbsp;aqhp〕
置	〔罒十一&nbsp;·&nbsp;ynqf〕
右	〔𠂇口&nbsp;·&nbsp;ndk〕
压	〔厂土丶&nbsp;·&nbsp;xgid〕
香	〔禾日&nbsp;·&nbsp;xor〕
层	〔尸云&nbsp;·&nbsp;cby〕
略	〔田各&nbsp;·&nbsp;qsg〕
静	〔龶⺝⺈&nbsp;·&nbsp;avxb〕
村	〔木寸&nbsp;·&nbsp;ekc〕
范	〔艹氵⺋&nbsp;·&nbsp;lkzj〕
源	〔氵厂白小&nbsp;·&nbsp;kxuy〕
副	〔一口田刂&nbsp;·&nbsp;fdqp〕
州	〔川&nbsp;·&nbsp;ooc〕
纳	〔纟冂人&nbsp;·&nbsp;imjr〕
岁	〔山夕&nbsp;·&nbsp;vlx〕
罪	〔罒非&nbsp;·&nbsp;yrf〕
余	〔人&nbsp;·&nbsp;jxh〕
闻	〔门耳&nbsp;·&nbsp;aqe〕
占	〔⺊口&nbsp;·&nbsp;ydk〕
玉	〔王丶&nbsp;·&nbsp;nid〕
哥	〔可&nbsp;·&nbsp;zzk〕
杨	〔木ㄋ&nbsp;·&nbsp;eaes〕
忙	〔忄亡&nbsp;·&nbsp;hfw〕
兄	〔口儿&nbsp;·&nbsp;dpe〕
守	〔宀寸&nbsp;·&nbsp;wkc〕
跑	〔⻊勹巳&nbsp;·&nbsp;pnvs〕
述	〔木丶辶&nbsp;·&nbsp;eiuc〕
座	〔广人人土&nbsp;·&nbsp;xjjg〕
田	〔田&nbsp;·&nbsp;qt〕
摇	〔扌爫缶&nbsp;·&nbsp;uyaf〕
超	〔走刀口&nbsp;·&nbsp;ppdk〕
演	〔氵宀一八&nbsp;·&nbsp;kwfh〕
皮	〔皮&nbsp;·&nbsp;rp〕
喝	〔口曰勹亾&nbsp;·&nbsp;donf〕
买	〔乛⺀大&nbsp;·&nbsp;awmd〕
佛	〔亻弗&nbsp;·&nbsp;jtf〕
室	〔宀至&nbsp;·&nbsp;wyi〕
角	〔⺈用&nbsp;·&nbsp;xty〕
卡	〔⺊一卜&nbsp;·&nbsp;yfyb〕
封	〔土土寸&nbsp;·&nbsp;ggkc〕
策	〔⺮木冂&nbsp;·&nbsp;remk〕
块	〔土人&nbsp;·&nbsp;gnjr〕
富	〔宀一口田&nbsp;·&nbsp;wfdq〕
判	〔丷刂&nbsp;·&nbsp;hupd〕
配	〔酉己&nbsp;·&nbsp;yvj〕
姑	〔女古&nbsp;·&nbsp;bcg〕
优	〔亻尤&nbsp;·&nbsp;joy〕
征	〔彳一止&nbsp;·&nbsp;wfsi〕
善	〔羊䒑口&nbsp;·&nbsp;ghdk〕
刀	〔刀&nbsp;·&nbsp;pd〕
娘	〔女丶艮&nbsp;·&nbsp;biig〕
降	〔阝夂㐄&nbsp;·&nbsp;thvk〕
恶	〔一业心&nbsp;·&nbsp;fchx〕
宣	〔宀一日一&nbsp;·&nbsp;wfof〕
慢	〔忄曰罒又&nbsp;·&nbsp;hoyr〕
积	〔禾口八&nbsp;·&nbsp;xdhb〕
草	〔艹日十&nbsp;·&nbsp;lons〕
恐	〔工几丶心&nbsp;·&nbsp;uoih〕
妈	〔女马&nbsp;·&nbsp;bnm〕
读	〔讠十乛大&nbsp;·&nbsp;snam〕
靠	〔⺧口非&nbsp;·&nbsp;qdrf〕
阶	〔阝人&nbsp;·&nbsp;tjpd〕
楚	〔木木疋&nbsp;·&nbsp;eets〕
姐	〔女且&nbsp;·&nbsp;bfq〕
爸	〔八乂巴&nbsp;·&nbsp;hbmb〕
执	〔扌九丶&nbsp;·&nbsp;ukid〕
呼	〔口丿丷&nbsp;·&nbsp;dthn〕
协	〔十力八&nbsp;·&nbsp;nshb〕
洲	〔氵川&nbsp;·&nbsp;kooc〕
巨	〔匚コ&nbsp;·&nbsp;nnk〕
免	〔&nbsp;·&nbsp;wpe〕
检	〔木亼⺍一&nbsp;·&nbsp;ejkf〕
养	〔⺶㇏&nbsp;·&nbsp;gipd〕
顾	〔厂页&nbsp;·&nbsp;xzwy〕
救	〔一氺丶攵&nbsp;·&nbsp;fkih〕
份	〔亻八刀&nbsp;·&nbsp;jhpd〕
控	〔扌穴工&nbsp;·&nbsp;ueug〕
抗	〔扌亠几&nbsp;·&nbsp;uzoj〕
著	〔艹耂日&nbsp;·&nbsp;lqor〕
赵	〔走㐅&nbsp;·&nbsp;pbi〕
肯	〔止⺝&nbsp;·&nbsp;svy〕
露	〔⻗⻊各&nbsp;·&nbsp;tpsg〕
换	〔扌⺈大&nbsp;·&nbsp;uxmm〕
登	〔癶豆&nbsp;·&nbsp;hzd〕
伊	〔亻丿&nbsp;·&nbsp;jbtp〕
犯	〔犭⺋&nbsp;·&nbsp;mzj〕
尚	〔尚&nbsp;·&nbsp;ss〕
莫	〔艹日大&nbsp;·&nbsp;lomd〕
危	〔⺈厂⺋&nbsp;·&nbsp;xxzj〕
审	〔宀日丨&nbsp;·&nbsp;wogs〕
掉	〔扌⺊日十&nbsp;·&nbsp;uyon〕
亦	〔亠&nbsp;·&nbsp;zch〕
沙	〔氵𡭔丿&nbsp;·&nbsp;kytp〕
散	〔龷⺝攵&nbsp;·&nbsp;lvhp〕
欧	〔匸㐅欠&nbsp;·&nbsp;nbeq〕
唐	〔广肀口&nbsp;·&nbsp;xbdk〕
枪	〔木人⺋&nbsp;·&nbsp;ejzj〕
宫	〔宀口口&nbsp;·&nbsp;wddk〕
魔	〔麻鬼&nbsp;·&nbsp;zag〕
耳	〔耳&nbsp;·&nbsp;qe〕
屋	〔尸至&nbsp;·&nbsp;cyi〕
永	〔丶&nbsp;·&nbsp;iks〕
孙	〔子小&nbsp;·&nbsp;hyx〕
临	〔〢&nbsp;·&nbsp;pror〕
圣	〔又土&nbsp;·&nbsp;rgt〕
叶	〔口十&nbsp;·&nbsp;dns〕
毫	〔毛&nbsp;·&nbsp;gvm〕
宋	〔宀木&nbsp;·&nbsp;wem〕
谢	〔讠身寸&nbsp;·&nbsp;szkc〕
讨	〔讠寸&nbsp;·&nbsp;skc〕
温	〔氵日皿&nbsp;·&nbsp;koam〕
嘴	〔口匕用&nbsp;·&nbsp;dsvt〕
航	〔舟亠几&nbsp;·&nbsp;izoj〕
毒	〔龶母&nbsp;·&nbsp;akm〕
呀	〔口牙&nbsp;·&nbsp;dly〕
野	〔里予&nbsp;·&nbsp;div〕
逃	〔儿冫辶&nbsp;·&nbsp;pwwu〕
托	〔扌丿七&nbsp;·&nbsp;utrq〕
伯	〔亻白&nbsp;·&nbsp;jub〕
索	〔十冖糸&nbsp;·&nbsp;nwis〕
岛	〔鸟山&nbsp;·&nbsp;xvs〕
贵	〔贝&nbsp;·&nbsp;cob〕
顺	〔川页&nbsp;·&nbsp;owy〕
楼	〔木米女&nbsp;·&nbsp;epbn〕
遇	〔田⽱辶&nbsp;·&nbsp;qvuc〕
良	〔丶艮&nbsp;·&nbsp;iig〕
朋	〔月月&nbsp;·&nbsp;vvy〕
坏	〔土不&nbsp;·&nbsp;gcb〕
亮	〔几&nbsp;·&nbsp;goj〕
户	〔户&nbsp;·&nbsp;mh〕
景	〔日小&nbsp;·&nbsp;ogyx〕
烈	〔歹刂灬&nbsp;·&nbsp;gpch〕
闪	〔门人&nbsp;·&nbsp;ajr〕
礼	〔礻乚&nbsp;·&nbsp;fae〕
艺	〔艹乙&nbsp;·&nbsp;lai〕
互	〔一彑&nbsp;·&nbsp;fbj〕
丝	〔纟纟&nbsp;·&nbsp;iis〕
秘	〔禾心丿&nbsp;·&nbsp;xhtp〕
渐	〔氵斤&nbsp;·&nbsp;kytj〕
架	〔力口木&nbsp;·&nbsp;sdem〕
鱼	〔鱼&nbsp;·&nbsp;wv&nbsp;wvv〕
升	〔丿廾&nbsp;·&nbsp;tlc〕
抓	〔扌爪&nbsp;·&nbsp;uya〕
监	〔〢皿&nbsp;·&nbsp;pram〕
君	〔丿口&nbsp;·&nbsp;btdk〕
短	〔矢豆&nbsp;·&nbsp;ozd〕
梦	〔木木夕&nbsp;·&nbsp;eelx〕
隐	〔阝⺈彐心&nbsp;·&nbsp;txbh〕
困	〔囗木&nbsp;·&nbsp;rem〕
税	〔禾丷口儿&nbsp;·&nbsp;xhdp〕
洋	〔氵羊&nbsp;·&nbsp;kgy〕
鬼	〔鬼&nbsp;·&nbsp;ag〕
炮	〔火勹巳&nbsp;·&nbsp;cnvs〕
舰	〔舟见&nbsp;·&nbsp;iej〕
付	〔亻寸&nbsp;·&nbsp;jkc〕
诸	〔讠耂日&nbsp;·&nbsp;sqor〕
货	〔亻贝&nbsp;·&nbsp;jvob〕
松	〔木八厶&nbsp;·&nbsp;ehks〕
归	〔リ彐&nbsp;·&nbsp;pbj〕
败	〔贝攵&nbsp;·&nbsp;ohp〕
幸	〔土&nbsp;·&nbsp;ggy〕
概	〔木旡&nbsp;·&nbsp;eidu〕
寻	〔彐寸&nbsp;·&nbsp;bkc〕
评	〔讠干丷&nbsp;·&nbsp;sehb〕
吸	〔口及&nbsp;·&nbsp;dcj〕
恩	〔囗大心&nbsp;·&nbsp;rmhx〕
介	〔人&nbsp;·&nbsp;jpd〕
朱	〔丿未&nbsp;·&nbsp;taw〕
探	〔扌冖八木&nbsp;·&nbsp;uwhe〕
县	〔且厶&nbsp;·&nbsp;fks〕
脱	〔月丷口儿&nbsp;·&nbsp;vhdp〕
移	〔禾夕夕&nbsp;·&nbsp;xllx〕
缺	〔缶人&nbsp;·&nbsp;anjr〕
画	〔一田凵&nbsp;·&nbsp;fqmk〕
误	〔讠口一大&nbsp;·&nbsp;sdfm〕
释	〔丿米又&nbsp;·&nbsp;tpru〕
旁	〔冖方&nbsp;·&nbsp;iwlf〕
跳	〔⻊儿冫&nbsp;·&nbsp;ppww〕
藏	〔艹臣&nbsp;·&nbsp;lnqc〕
春	〔㇏日&nbsp;·&nbsp;aior〕
睡	〔目千艹士&nbsp;·&nbsp;qllg〕
吉	〔士口&nbsp;·&nbsp;gdk〕
端	〔立山而&nbsp;·&nbsp;ivle〕
味	〔口未&nbsp;·&nbsp;daw〕
杂	〔九木&nbsp;·&nbsp;kem〕
翻	〔丿米田羽&nbsp;·&nbsp;tpqz〕
雪	〔⻗彐&nbsp;·&nbsp;tbj〕
遗	〔贝辶&nbsp;·&nbsp;couc〕
款	〔士示欠&nbsp;·&nbsp;gfeq〕
刺	〔木冂刂&nbsp;·&nbsp;empd〕
附	〔阝亻寸&nbsp;·&nbsp;tjkc〕
爷	〔八乂卩&nbsp;·&nbsp;hbzj〕
核	〔木亥&nbsp;·&nbsp;ekh〕
央	〔大&nbsp;·&nbsp;mmd〕
减	〔冫戊一口&nbsp;·&nbsp;wnfd〕
阴	〔阝月&nbsp;·&nbsp;tvy〕
编	〔纟户&nbsp;·&nbsp;imic〕
版	〔片⺁又&nbsp;·&nbsp;axry〕
智	〔矢口日&nbsp;·&nbsp;odor〕
齐	〔齐&nbsp;·&nbsp;qq〕
雨	〔雨&nbsp;·&nbsp;tv〕
徐	〔彳人&nbsp;·&nbsp;wjxh〕
鲁	〔鱼日&nbsp;·&nbsp;wor〕
仙	〔亻山&nbsp;·&nbsp;jvs〕
湖	〔氵古月&nbsp;·&nbsp;kcvy〕
钟	〔钅口丨&nbsp;·&nbsp;zdgs〕
蒙	〔艹冖一豕&nbsp;·&nbsp;lwfj〕
丽	〔一&nbsp;·&nbsp;fvvy〕
班	〔王王&nbsp;·&nbsp;npnw&nbsp;pnnw〕
咱	〔口自&nbsp;·&nbsp;doi〕
康	〔广氺&nbsp;·&nbsp;xbks〕
损	〔扌口贝&nbsp;·&nbsp;udob〕
震	〔⻗辰&nbsp;·&nbsp;tfc〕
借	〔亻龷日&nbsp;·&nbsp;jlor〕
固	〔囗古&nbsp;·&nbsp;rcg〕
诗	〔讠土寸&nbsp;·&nbsp;sgkc〕
镇	〔钅十&nbsp;·&nbsp;znqh〕
吴	〔口一大&nbsp;·&nbsp;dfmd〕
域	〔土戈口㇀&nbsp;·&nbsp;gpdf〕
均	〔土勹冫&nbsp;·&nbsp;gnwb〕
秦	〔㇏禾&nbsp;·&nbsp;aixh〕
妇	〔女彐&nbsp;·&nbsp;bbj〕
鲜	〔鱼羊&nbsp;·&nbsp;wgy〕
序	〔广予&nbsp;·&nbsp;xiv〕
烟	〔火囗大&nbsp;·&nbsp;crmd〕
洞	〔氵冂一口&nbsp;·&nbsp;kmfd〕
猛	〔犭子皿&nbsp;·&nbsp;mham〕
测	〔氵贝刂&nbsp;·&nbsp;kopd〕
练	〔纟&nbsp;·&nbsp;iryx〕
旧	〔丨日&nbsp;·&nbsp;gor〕
堂	〔土&nbsp;·&nbsp;sgt〕
笔	〔⺮毛&nbsp;·&nbsp;rvm〕
饭	〔饣⺁又&nbsp;·&nbsp;qxry〕
顶	〔丁页&nbsp;·&nbsp;awy〕
灭	〔一火&nbsp;·&nbsp;fch〕
庄	〔广土&nbsp;·&nbsp;xgt〕
括	〔扌舌&nbsp;·&nbsp;uas〕
怒	〔女又心&nbsp;·&nbsp;brhx〕
补	〔衤卜&nbsp;·&nbsp;tyb〕
逐	〔豕辶&nbsp;·&nbsp;juc〕
毕	〔匕十&nbsp;·&nbsp;vvns〕
席	〔广廿巾&nbsp;·&nbsp;xlrj〕
禁	〔木木示&nbsp;·&nbsp;eefs〕
剧	〔尸古刂&nbsp;·&nbsp;ccpd〕
乡	〔乡&nbsp;·&nbsp;ix&nbsp;ixx〕
湾	〔氵亠弓&nbsp;·&nbsp;kzcb〕
卖	〔十乛⺀大&nbsp;·&nbsp;nawm〕
牛	〔牛&nbsp;·&nbsp;qn〕
避	〔尸口辛辶&nbsp;·&nbsp;cdnu〕
欲	〔谷欠&nbsp;·&nbsp;heq〕
弄	〔王廾&nbsp;·&nbsp;nlc〕
忍	〔刀丶心&nbsp;·&nbsp;pihx〕
旅	〔方𠂉&nbsp;·&nbsp;leti〕
暴	〔日龷八氺&nbsp;·&nbsp;olhk〕
虚	〔虍业&nbsp;·&nbsp;zcy〕
额	〔宀各页&nbsp;·&nbsp;wswy〕
含	〔亽口&nbsp;·&nbsp;jadk〕
忘	〔亡心&nbsp;·&nbsp;fhx〕
抱	〔扌勹巳&nbsp;·&nbsp;unvs〕
油	〔氵由&nbsp;·&nbsp;kdy〕
肉	〔冂人人&nbsp;·&nbsp;mjjr〕
输	〔亼⺝刂&nbsp;·&nbsp;yjvp〕
洛	〔氵各&nbsp;·&nbsp;ksg〕
祖	〔礻且&nbsp;·&nbsp;ffq〕
缓	〔纟爫一又&nbsp;·&nbsp;iyfr〕
迎	〔卩辶&nbsp;·&nbsp;bzuc〕
虎	〔虎&nbsp;·&nbsp;zh&nbsp;zhh〕
票	〔覀示&nbsp;·&nbsp;vfs〕
销	〔钅⺌⺝&nbsp;·&nbsp;zyvy〕
婚	〔女氏日&nbsp;·&nbsp;bbor〕
乃	〔乃&nbsp;·&nbsp;vn〕
板	〔木⺁又&nbsp;·&nbsp;exry〕
冰	〔冫水&nbsp;·&nbsp;wks〕
伸	〔亻日丨&nbsp;·&nbsp;jogs〕
录	〔氺&nbsp;·&nbsp;bks〕
遍	〔户辶&nbsp;·&nbsp;miuc〕
虑	〔虍心&nbsp;·&nbsp;zhx〕
宁	〔宀丁&nbsp;·&nbsp;wad〕
臣	〔臣&nbsp;·&nbsp;qc〕
玩	〔王二儿&nbsp;·&nbsp;nmpe〕
熟	〔子九灬&nbsp;·&nbsp;ghkc〕
谷	〔谷&nbsp;·&nbsp;hg〕
予	〔予&nbsp;·&nbsp;iv〕
谋	〔讠甘木&nbsp;·&nbsp;szem〕
炸	〔火乍&nbsp;·&nbsp;cwa〕
督	〔⺊一小目&nbsp;·&nbsp;yfyq〕
奥	〔丿冂米大&nbsp;·&nbsp;tmpm〕
狂	〔犭王&nbsp;·&nbsp;mnw〕
亡	〔亡&nbsp;·&nbsp;fw〕
港	〔氵龷八巳&nbsp;·&nbsp;klhv〕
庭	〔广㇒士廴&nbsp;·&nbsp;xtgu〕
博	〔十甫寸&nbsp;·&nbsp;nnkc〕
材	〔木丿&nbsp;·&nbsp;entp〕
